url,content
https://sunway.edu.np,
https://sunway.edu.np,Full Name
https://sunway.edu.np,Email Address
https://sunway.edu.np,Phone Number
https://sunway.edu.np,ProgramBSc (Hons) Computer Science and Artificial Intelligence
https://sunway.edu.np,IELTS/PTE/TOEFL Score
https://sunway.edu.np,Message
https://sunway.edu.np,Apply
https://sunway.edu.np,Δ
https://sunway.edu.np,"Why Sunway College? Sunway College Kathmandu, a leading AI college in Nepal,offers a specialized Bachelor Degree in Data Science and Artificial Intelligence. As one of the top AI colleges in Nepal, we are dedicated to mint academic and professional standards in our students who will become a believer in"
https://sunway.edu.np,
https://sunway.edu.np,
https://sunway.edu.np,
https://sunway.edu.np,
https://sunway.edu.np,
https://sunway.edu.np,
https://sunway.edu.np,Send Message
https://sunway.edu.np,Δ
https://sunway.edu.np,Descriptive Video Understanding on BSc (Hons) Computer Science with Artificial Intelligence
https://sunway.edu.np,"Sunway College Kathmandu, a leading AI college in Nepal, offers a specialized Bachelor Degree in Data Science and Artificial Intelligence."
https://sunway.edu.np,"Sunway College Kathmandu is working in academic partnership with Birmingham City University, UK offering specialized undergraduate course in data science and artificial intelligence, BSc(Hons) Computer Science with Artificial Intelligence. The university ranks 601-800 as per Times Higher Education World Rankings 2024."
https://sunway.edu.np,"Birmingham City University (BCU) is a leading UK university renowned for its strong industry links and focus on practical learning. Ranked 601-800 in the Times Higher Education World Rankings 2024, BCU boasts a diverse student body of over 31,000 individuals from more than 100 countries. Located in the heart of Birmingham, a vibrant and dynamic city, BCU offers a unique learning environment that blends academic excellence with real-world experience."
https://sunway.edu.np,"With over 31,000 students from over 100 countries, BCU is a large and diverse university set in the heart of Birmingham with a focus on practice-based learning. BCU puts students at the heart of everything they do, giving them the best opportunities for future success."
https://sunway.edu.np,"Sunway College Has been the main reason for my personal and professional development. I had an incredible academic journey here thanks to the teachers and mentors here at the college. 
I am also deeply grateful to my seniors for fostering an environment that encouraged my personal development. Sunway College has provided me with countless opportunities, including participation in over 7 hackathons, more than 50 tech events, and an abundance of networking opportunities. I am truly thankful to Sunway for all the support and opportunities that have shaped me into who I am today.
Read More"
https://sunway.edu.np,"I am also deeply grateful to my seniors for fostering an environment that encouraged my personal development. Sunway College has provided me with countless opportunities, including participation in over 7 hackathons, more than 50 tech events, and an abundance of networking opportunities. I am truly thankful to Sunway for all the support and opportunities that have shaped me into who I am today."
https://sunway.edu.np,"My journey at Sunway College, now in my 5th semester, has been transformative. Sunway has provided immense opportunities to develop my leadership skills,

 from organizing college events to benefiting from external networking opportunities. The college's focus on soft skills, through professional development sessions and integrating research, writing, and presentation skills into the curriculum, equips students to excel. Sunway's emphasis on industry readiness was crucial in securing my first internship at a renowned AI company. I look forward to achieving many more milestones at Sunway and beyond!
Read More"
https://sunway.edu.np,"from organizing college events to benefiting from external networking opportunities. The college's focus on soft skills, through professional development sessions and integrating research, writing, and presentation skills into the curriculum, equips students to excel. Sunway's emphasis on industry readiness was crucial in securing my first internship at a renowned AI company. I look forward to achieving many more milestones at Sunway and beyond!"
https://sunway.edu.np,"My time at Sunway College has been a period of immense growth, opportunity, and unforgettable experiences.


Stepping in as a shy and hesitant individual, I immediately felt a sense of opportunity and a nurturing environment that encouraged both academic excellence and personal development. Serving as President of the Sunway Student Representative Council (SSRC) for 2024/25 was incredibly rewarding, allowing me to develop leadership skills, build connections, and contribute to the student community. As a BSc (Hons) Computer and Data Science student, the course structure has been instrumental in shaping my career, providing a strong foundation and hands-on experience. Now, as I begin my placement year as an AI Engineer at SunyaEk Computing, I can confidently say Sunway has been pivotal in preparing me for this exciting chapter. The support, knowledge, and experiences I gained here will always be cherished.
Read More"
https://sunway.edu.np,"Stepping in as a shy and hesitant individual, I immediately felt a sense of opportunity and a nurturing environment that encouraged both academic excellence and personal development. Serving as President of the Sunway Student Representative Council (SSRC) for 2024/25 was incredibly rewarding, allowing me to develop leadership skills, build connections, and contribute to the student community. As a BSc (Hons) Computer and Data Science student, the course structure has been instrumental in shaping my career, providing a strong foundation and hands-on experience. Now, as I begin my placement year as an AI Engineer at SunyaEk Computing, I can confidently say Sunway has been pivotal in preparing me for this exciting chapter. The support, knowledge, and experiences I gained here will always be cherished."
https://sunway.edu.np,"My academic journey at Sunway College Kathmandu, particularly in Artificial Intelligence and Data Science, has been exceptional.
 Sunway is a premier AI college, offering top-tier resources, expert guidance, and a curriculum aligned with the latest technological advancements. Beyond academics, the college fosters extracurricular and co-curricular activities, providing practical exposure through hackathons and industry collaborations. Sunway College is more than an institution; it's a hub for aspiring AI enthusiasts.
Read More"
https://sunway.edu.np,"Sunway is a premier AI college, offering top-tier resources, expert guidance, and a curriculum aligned with the latest technological advancements. Beyond academics, the college fosters extracurricular and co-curricular activities, providing practical exposure through hackathons and industry collaborations. Sunway College is more than an institution; it's a hub for aspiring AI enthusiasts."
https://sunway.edu.np/about-us,
https://sunway.edu.np/about-us,Full Name
https://sunway.edu.np/about-us,Email Address
https://sunway.edu.np/about-us,Phone Number
https://sunway.edu.np/about-us,ProgramBSc (Hons) Computer Science and Artificial Intelligence
https://sunway.edu.np/about-us,IELTS/PTE/TOEFL Score
https://sunway.edu.np/about-us,Message
https://sunway.edu.np/about-us,Apply
https://sunway.edu.np/about-us,Δ
https://sunway.edu.np/about-us,"We are those who understand the importance of aligning your passion to your profession. It will help you to identify with your areas of strength, weakness, opportunity and threat, a SWOT and also guide you towards the right job at the end through placement day."
https://sunway.edu.np/about-us,"Now, putting our professional suit on, Since its establishment in the year 2010, a 13 year history, Sunway college has been providing academic excellence to produce highly skilled human resources of IT and business-oriented degrees. We are dedicated to mint both academic and professional standards of our students, the Sunwayians. With above 90% placement of alumni ,they are actively working in government sectors, private institutes, entrepreneurship and in international market. With that being said, we are introducing Digital marketing and Data Science with a bigger vision to cater the global demand that enables to built the top 10% skilled-manpower of the future."
https://sunway.edu.np/about-us,"Working with multiple international universities has given us a peak on their education system and that has inspired us to make our own system better. Today, we are academically partnered with Birmingham City University (BCU), UK."
https://sunway.edu.np/about-us,"A curious mind with 21st century skills and a zest of a learner is someone who we have been looking for. If you know you are the one, Start With Sunway."
https://sunway.edu.np/about-us,"The education sector could not be left unaffected by the current wave of modernization and digitization. In keeping with this philosophy, we have introduced one of the leading edge and entrepreneurship-focused ""Birmingham City University"" to Nepal, to serve students seeking an affordable international education. I'm confident that the academic collaboration with Birmingham City University will benefit local students, employers, and the community as a whole. Our current focus is on awarding undergraduate degrees to students, but we intend to expand to other programs as needed in the future to meet demand. The academic partnership with “Birmingham City University” will soon offer more doors for opportunities to support additional programs. Shortening the gap and inheriting skills to be future-ready requires growth in both mindset and knowledge. Through a holistic approach, we provide support to the students for their overall development and uphold the environment that tends to their physical, emotional, and social wellbeing. Sunway College also offers industrial training to get students ready for the industry and to create a skilled workforce. I urge all future graduate and undergraduate students, along with their parents, to think about Sunway College as a high-quality, well-known, and affordable education institution."
